shop,title,price,place,buy_num
0,godly功德林旗舰店,上海功德林素食食品素鸡素鸭素肉素火腿豆腐干仿荤豆制品佛家纯素,9.80,上海,623.0
1,猫诚旗舰店,卫龙大礼包辣条亲嘴烧豆干麻辣味整箱儿时小吃休闲网红零食品,29.80,安徽,60000.0
2,好欢螺旗舰店,好欢螺螺蛳粉柳州美食螺丝粉400g*5袋螺狮粉速食懒人方便面非泡面,74.50,广西,15000.0
3,天猫超市,百草味肉松饼1kg早餐蛋糕饼干糕点网红休闲零食小吃整箱特色,39.90,上海,6500.0
4,天猫超市,科尔沁手撕风干牛肉干400g原味内蒙古特产牛肉干美食零食小吃,125.00,上海,4075.0
5,天猫超市,好丽友呀土豆9连包超值礼包实惠家庭装休闲膨化薯片饼干小吃,39.90,上海,6500.0
6,天猫超市,阿宽白家红油面皮12袋1260g特色小吃方便面非火鸡面成都特色,45.90,上海,2378.0
7,天猫超市,百草味 肉松饼260g*2袋 早餐零食小吃特产美食糕点心零食网红早餐,51.80,上海,728.0
8,比比赞旗舰店,蛋黄酥海鸭蛋零食小吃网红充饥夜宵特产美食糕点点心整箱休闲食品,36.80,福建,20000.0
9,三只松鼠旗舰店,满减【三只松鼠_蜀香牛肉100g】休闲零食小吃肉脯特产牛肉干,29.90,安徽,100000.0
10,三只松鼠旗舰店,满减【三只松鼠_墨玉川式芝麻酥135g】美食早餐小吃点心休闲零食,20.50,安徽,4022.0
11,比比赞旗舰店,沙琪玛批发包邮休闲美食品早餐面包整箱糕点心好吃不贵的小吃零食,24.80,福建,3886.0
12,襄遇二阳旗舰店,襄遇二阳手工糯米锅巴280g*2袋安徽特产网红小零食网红小吃,15.80,湖北,13.0
13,襄遇二阳旗舰店,满99-50襄遇二阳手工糯米锅巴安徽特产网红零食网红办公小吃,13.80,湖北,31.0
14,源氏食品专营店,米多奇香米饼260g仙贝休闲零食品批发膨化饼干小吃点心,12.80,江苏,25.0
15,百草味旗舰店,【百草味-肉松饼1kg】网红休闲零食特色小吃美食点心传统,38.90,浙江,15000.0
16,轩妈食品旗舰店,轩妈家蛋黄酥4种口味组合混合装糕点点心美食零食小吃早餐食品,62.80,广西,25000.0
17,轩妈食品旗舰店,轩妈家蛋黄酥2盒 红豆味雪媚娘麻薯新鲜糕点美食网红零食小吃早餐,85.60,广西,10000.0
18,周黑鸭食品旗舰店,【周黑鸭旗舰店_锁鲜】气调盒装卤鸭舌150g*2 美食特产零食品小吃,119.80,未知,1426.0
19,美珍香旗舰店,美珍香迷你金钱烧烤猪肉200g+迷你休闲烧烤猪肉200g小吃零食,171.00,上海,4239.0
20,周黑鸭食品旗舰店,【周黑鸭旗舰店_锁鲜】气调盒装卤鸭脖320g*2 美食特产食品零食,78.60,上海,577.0
21,良品铺子旗舰店,【良品铺子-肉松饼380gx2袋】传统糕点早餐食品零食美食小吃休闲,29.90,广东,3356.0
22,好欢螺旗舰店,好欢螺螺蛳粉柳州特产美食酸辣粉300gx5袋螺狮粉速食方便面米线,64.50,广西,55000.0
23,良品铺子旗舰店,【良品铺子-肉松饼1000g】休闲小零食一箱早餐食品整箱美食小吃,45.90,广东,1822.0
24,友臣旗舰店,友臣正宗肉松饼整箱休闲早零食充饥夜宵特产糕点美食营养食品面包,44.80,福建,45000.0
25,来伊份官方旗舰店,来伊份虎皮蛋糕168gx2糕点零食奶香夹心蛋糕美食早餐软点心小包装,29.90,上海,4636.0
26,稻香村食品旗舰店,稻香村牛舌饼360G*2好吃的传统特产特色糕点心酥皮小吃零食,35.90,北京,5500.0
27,稻香村食品旗舰店,稻香村江米条260g*2特色传统好吃的特产80后怀旧美食小吃零食茶点,34.90,北京,1914.0
28,沈大成旗舰店,沈大成糕点青芝士团网红零食小吃老字号美食上海特产,49.00,上海,3294.0
29,李村旗舰店,李村猪肉脂渣香酥油渣干炸五花肉粕青岛特产小吃美食肉类生酮零食,118.00,山东,2151.0
30,沈大成旗舰店,沈大成糕点桂花拉糕上海特产老字号传统手工糕点心网红桂花糕,29.90,上海,5500.0
31,好利来官方旗舰店,好利来玫瑰蛋黄酥传统糕点礼盒点心零食小吃休闲食品美食玫瑰,92.00,北京,3051.0
32,盼盼食品官方旗舰店,盼盼肉松饼整箱营养早餐糕点小吃面包特产美食网红小零食2100g,64.90,未知,1284.0
33,肖三婆旗舰店,满299减200丨自贡冷吃牛肉120g肖三婆四川麻辣牛肉干真空熟食,69.90,四川,1666.0
34,沈厅旗舰店,沈厅 周庄特产沈万三家蹄髈1000g猪蹄酱肘子蹄膀肉类熟食卤味,52.00,江苏,5500.0
35,知味观官方旗舰店,满减【知味观蛋黄酥1盒】杭州老字号好吃的美食特产网红点心小吃,44.70,未知,954.0
36,德州扒鸡旗舰店,【德州扒鸡旗舰店】德州扒鸡正宗鸡爪熟食零食美食德州 扒鸡600g3,123.00,山东,2645.0
37,知味观官方旗舰店,知味观蛋黄肉松青团网红零食小吃 麻薯糍粑休闲美食艾草糯米团子,38.00,未知,840.0
38,家柳旗舰店,【顺丰现货】柳州螺蛳粉家柳广西特产螺狮美食300g*5包方便酸辣粉,37.90,广西,30000.0
39,杏花楼食品旗舰店,杏花楼蛋黄酥 蔓越莓奶酪/香芋/奶黄椰粒酥 网红美食早餐糕点点心,29.90,上海,4887.0
40,螺状元旗舰店,螺状元柳州螺蛳粉特产美食方便面速食螺狮粉米线广西螺丝粉,64.00,广西,60000.0
41,桂花鸭旗舰店,桂花鸭南京盐水鸭1000g正宗江苏特产年货美食板鸭咸水鸭真空熟食,56.00,江苏,3617.0
42,友臣旗舰店,友臣肉松饼2.1kg营养早餐点心美食晚上解饿零食糕点整箱批发面包,73.50,福建,3705.0
43,桂花鸭旗舰店,桂花鸭南京盐水鸭+酱鸭2000g特产正宗美食送礼真空装熟食年货食品,109.00,江苏,916.0
44,绝艺食品旗舰店,绝艺鸭货零食大礼包麻辣味网红小吃休闲食品充饥夜宵整箱散装,29.90,湖南,35000.0
45,嘉华食品旗舰店,嘉华鲜花饼云腿小饼12枚礼袋云南特产零食小吃美食早餐传统糕点心,39.90,云南,5500.0
46,杨大爷旗舰店,杨大爷五花腊肉500g四川美食特产腊肉农家自制烟熏肥咸肉柴火腊肉,69.00,四川,1782.0
47,肖三婆旗舰店,满299减200丨香辣卤鸭舌头四川美食地方特色小零食下酒菜网红小吃,105.00,四川,356.0
48,tb7067940_2011,老北京特产茯苓夹饼 正宗传统土茯苓糕点心 下午茶美味小吃零食品,19.90,湖北,1.0
49,食家巷旗舰店,食家巷甘肃特产白吉饼白吉馍百吉饼白饼子烤饼馍馍电烙烧饼20个装,29.90,甘肃,1388.0
50,tb231131925,冷吃兔自贡川湘仔兔肉成都重庆美食网红麻辣兔丁四川特产小吃零食,21.90,四川,442.0
51,卫龙食品旗舰店,散装【卫龙旗舰店】魔芋爽整箱辣条毛肚素食香麻辣网红美食小袋装,189.00,河南,1105.0
52,沈师傅旗舰店,沈师傅鸡蛋干四川特产豆腐干成都美食豆干小吃零食休闲食品非150g,36.90,四川,10000.0
53,双鱼食品旗舰店,双鱼猪肉脯400克靖江特产猪肉铺金奖猪肉干自然片老字号中华,69.90,江苏,2327.0
54,广州酒家旗舰店,广州酒家天天向上糕点零食礼包礼盒广东美食小吃饼干节日送礼手信,108.00,广东,441.0
55,廖记棒棒鸡旗舰店,廖记棒棒鸡无骨鸡爪两份920g 四川特色小吃麻辣无骨鸡爪零食,92.90,未知,1955.0
56,百草味旗舰店,【百草味-肉松饼260gx2袋】早餐零食小吃 特产美食糕点点心,16.90,浙江,2654.0
57,天猫超市,科尔沁超干牛肉干175g原味内蒙古风干牛肉干草原特产手撕零食,79.00,上海,2047.0
58,天猫超市,草原今朝风干牛肉干原味106g内蒙古特产新鲜真空包装休闲零食,56.80,上海,1650.0
59,天猫超市,好丽友浪里个浪390g超值大礼包聚会欢享休闲膨化薯片饼干小吃,40.80,上海,2394.0
60,天猫超市,徐福记传统糕点包馅酥184g*3袋台式风味宅家美食点心凤梨酥零食,39.80,上海,324.0
61,天猫超市,轩妈家蛋黄酥芝士酥4枚雪媚娘麻薯软糯糕点美食小吃早餐零食,39.90,上海,244.0
62,三只松鼠旗舰店,满减【三只松鼠_白玉川式花生酥135g】美食早餐小吃点心休闲零食,14.50,安徽,5000.0
63,三只松鼠旗舰店,【三只松鼠_小贱华夫饼248g】休闲零食面包西式早餐糕点点心,16.90,安徽,3408.0
64,比比赞旗舰店,网红雪花酥饼干整箱沙琪玛美食零食小吃牛轧糖蔓越莓糕点休闲食品,7.90,福建,70000.0
65,比比赞旗舰店,欧鲜生爆浆麻薯干吃汤圆宿舍小零食小吃网红美食品糯米糍面包整箱,19.90,福建,1476.0
66,周黑鸭食品旗舰店,【周黑鸭旗舰店_锁鲜】气调盒装卤鸭锁骨240g*3盒 美食特产零食品,76.80,上海,592.0
68,良品铺子旗舰店,【良品铺子-盐焗鸡翅】卤味熟食美食小吃零食休闲食品鸡肉即食,23.90,广东,2306.0
69,好欢螺旗舰店,好欢螺螺蛳粉300g*6袋柳州特产螺狮粉美食螺丝粉煮水方便面酸辣粉,77.40,广西,25000.0
70,周黑鸭食品旗舰店,【周黑鸭旗舰店锁鲜】气调盒装卤鱿鱼260g 美食特产食品休闲零食,48.90,上海,3838.0
71,好欢螺旗舰店,好欢螺螺蛳粉柳州特产螺狮粉美食酸辣粉速食螺丝粉400gx6袋包邮,89.40,广西,2265.0
72,稻香村食品旗舰店,稻香村玫瑰鲜花饼礼盒伴手礼450g特产糕点点心好吃的零食,38.90,北京,740.0
73,稻香村食品旗舰店,稻香村芝麻瓦片450g好吃传统糕点点心饼干休闲零食品特产小吃,30.90,北京,1927.0
74,轩妈食品旗舰店,轩妈家蛋黄酥芝士冰沙味55g*6枚 雪媚娘夹心馅美食糕点早餐零食,43.80,广西,7500.0
75,轩妈食品旗舰店,轩妈家芝士酥4枚 蛋黄酥芝士雪媚娘麻薯软糯新鲜糕点早餐零食,37.90,广西,20000.0
76,知味观官方旗舰店,知味观艾草青团网红美食咸蛋黄肉松豆沙清明果青团子糕点小吃零食,29.90,未知,3522.0
77,知味观官方旗舰店,知味观网红咸蛋黄酥糕点雪媚娘美食好吃的特产零食小吃早餐排行榜,36.90,未知,1049.0
78,肖三婆旗舰店,满299减200丨肖三婆无骨鸭掌150g麻辣去脱骨鸭爪四川特产卤味,69.90,四川,1223.0
79,桃李食品旗舰店,桃李天然酵母面包1800g营养早餐零食美食品手撕口袋面包蛋糕整箱,108.00,辽宁,2355.0
80,聪明小熊旗舰店,预售 香港珍妮曲奇聪明小熊饼干320g/4mix四味礼盒装进口特产,119.80,广东,2030.0
81,何氏爱民旗舰店,爱民螺蛳粉6袋礼盒装方便速食香辣螺丝粉广西特产柳州螺狮粉,73.00,广西,3551.0
82,百草味旗舰店,【百草味-牛扎奶芙160g】零食特产美食雪花酥糕点牛轧糖沙琪玛,16.90,浙江,7500.0
83,五芳斋官方旗舰店,五芳斋绿豆糕2盒装糕点心休闲零食美食小吃手工绿豆饼冰糕好吃,59.90,未知,289.0
84,天猫会员店,科尔沁手撕风干牛肉干400g原味内蒙古特产牛肉干美食零食小吃,99.00,上海,
85,德州扒鸡旗舰店,德州扒鸡旗舰店美食德州扒鸡正宗零食烧鸡老字号德州脱骨扒鸡500g,39.90,山东,9000.0
86,百草味旗舰店,【百草味-凤梨酥300g】休闲零食美食特产 网红糕点小吃点心食品,19.90,浙江,969.0
87,徽味和旗舰店,正宗安徽特产黄山烧饼 梅干菜扣肉酥饼网红美食糕点心零食小吃,19.90,安徽,70000.0
88,其妙旗舰店,其妙蛋黄酥海鸭蛋麻薯雪媚娘网红零食好吃的美食零食小吃休闲食品,28.80,福建,1575.0
89,来伊份官方旗舰店,来伊份桃酥252g饼干传统糕点点心酥饼休闲零食小吃美食食品核桃酥,18.90,上海,1909.0
90,沈大成旗舰店,沈大成糕点桂花拉糕2盒 上海特产老字号 糯米糕点心 网红,69.00,上海,249.0
91,百事集团官方旗舰店,奇多粟米棒休闲食品小吃零食整箱混装90*12童年回忆怀旧网红,60.00,未知,1542.0
92,品牌衣衣时代,广东正宗卤鸡卤水熟食即食五香全鸡整只美味私房菜850g老土鸡包邮,39.80,广东,24.0
93,潮昂食品专营店,丫眯鲜花饼云南特产玫瑰饼正宗好吃的零食小吃休闲食品糕点,16.80,云南,20000.0
94,那伽力旗舰店,那伽力儿童健康高钙零食宝宝休闲小吃无添加味精 营养食品1-2 3岁,29.90,河北,1971.0
95,yotime旗舰店,杭州特产糕点美食 网红荷花酥曲奇生日饼干礼盒装伴手送女友礼品,158.00,浙江,458.0
96,独秀秦之恋旗舰店,秦之恋襄阳手工锅巴400g*4麻辣味老襄阳特产小吃休闲网红零食,23.80,未知,3968.0
97,桂花鸭旗舰店,桂花鸭南京特产盐水鸭正宗银桂流香真空板鸭美食熟食品咸水鸭1kg,66.00,江苏,1675.0
98,酷绅旗舰店,湖南特产常德长沙正宗手撕酱板鸭香辣风干烤鸭美食熟即食零食小吃,39.90,湖南,30000.0
99,李村旗舰店,李村脂渣猪油渣干炸脆皮五花肉青岛小吃美食特产休闲食品生酮零食,45.00,山东,4953.0
100,猫诚旗舰店,轩妈芝士酥蛋黄酥雪媚娘麻薯糕点美食小吃好吃的网红零食大礼包,39.90,广西,190.0
101,修文食品官方旗舰店,修文鸭舌温州特产酱鸭舌酱卤鸭舌头原味美食小吃休闲零食净重480g,172.00,未知,589.0
102,天天装饰店,Hape 美食家超能大厨房大型仿真厨房过家家玩具女孩益智玩具,1550.00,江苏,35.0
103,卫龙食品旗舰店,满减【卫龙旗舰店】亲嘴条300g辣条辣味素肉小吃美食麻辣怀旧零食,24.40,河南,2725.0
104,韩复兴旗舰店,韩复兴南京盐水鸭+酱鸭2000g正宗江苏特产美食送礼老字号卤味熟食,143.00,江苏,414.0
105,柳螺宗蛳旗舰店,柳螺宗蛳螺蛳粉正宗柳州特产美食330g*5袋螺狮粉整箱礼盒装螺丝粉,63.88,广西,5000.0
106,韩复兴旗舰店,韩复兴精品盐水鸭1kg正宗江苏南京特产真空咸水鸭熟食老字号,72.00,江苏,1461.0
107,杏花楼食品旗舰店,杏花楼老字号上海美食传统熟食咸鸡即食卤味白鸡切盐水鸡真空,55.00,上海,1532.0
108,肖三婆旗舰店,满299减200丨麻辣鸡翅尖100g四川特产美食休闲网红鸡爪鸡翅零食,28.80,四川,1731.0
109,藤桥牌旗舰店,藤桥牌温州风味特产 鸭肫 鸭胗零食小包装 酱香卤味称重500g,59.90,浙江,606.0
110,九臻白氏食品专营店,凉皮速食擀面皮真空袋装陕西特产宝鸡西安岐山汉中小吃名吃干,28.98,未知,15000.0
111,螺状元旗舰店,螺状元柳州螺蛳粉少女粉特产美食螺狮粉辣方便面速食广西螺丝粉,39.90,广西,15000.0
112,其妙旗舰店,爆浆麻薯干吃汤圆面包整箱糯米糍粑早餐食品零食小吃休闲食品,16.90,福建,3454.0
113,天猫超市,三只松鼠蜀香麻辣味牛肉干100g麻辣小零食熟食特产牛肉粒小吃,22.90,上海,95000.0
114,天猫超市,良品铺子爆浆麻薯抹茶味150gx2袋糕点点心零食组合美食糯米糍汤圆,17.90,上海,10000.0
115,天猫超市,三只松鼠华夫饼248g早餐饼糕点心美食奶香饼营养面包网红休闲零食,21.90,上海,10000.0
116,天猫超市,良品铺子爆浆麻薯芒果味150gx2袋糕点点心小吃组合美食糯米糍汤圆,17.90,上海,4141.0
117,天猫超市,上好旺香甜玉米酥1斤花生芝麻点心特产美食小吃早餐零食饼干糕点,29.90,上海,608.0
118,三只松鼠旗舰店,满减【三只松鼠_悟空麻花108g】零食天津风味特产早餐点心,12.90,安徽,3445.0
119,三只松鼠旗舰店,【三只松鼠_手撕鱿鱼片60gx2袋】零食小吃特产海味鱿鱼片,19.90,安徽,401.0
120,比比赞旗舰店,蛋黄酥雪媚娘海鸭蛋黄麻薯美食早餐网红小吃零食面包糕点休闲食品,49.90,福建,190.0
121,比比赞旗舰店,欧贝拉海鸭蛋咸蛋黄酥雪媚娘美食散装整箱批发糕点网红宿舍小零食,28.90,福建,338.0
122,周黑鸭食品旗舰店,【周黑鸭旗舰店_锁鲜】气调盒装鸭掌245g*3 美食特产食品零食小吃,74.90,上海,475.0
123,周黑鸭食品旗舰店,【周黑鸭旗舰店_锁鲜】卤鸭脖180g鸭翅160g鸭舌120g 零食小吃,89.90,未知,1269.0
124,良品铺子旗舰店,【良品铺子-虎皮凤爪200g】卤味鸡爪美食小吃零食熟食,25.90,广东,9500.0
125,良品铺子旗舰店,【良品铺子-肉松饼380g】早餐糕点零食美食小吃休闲食品满减,26.90,广东,20000.0
126,稻香村食品旗舰店,稻香村驴打滚210g*2糕点点心零食传统美食特产麻薯肉松味,39.90,北京,1479.0
127,好欢螺旗舰店,好欢螺螺蛳粉柳州美食特产螺狮粉400g*3袋螺丝粉速食方便面酸辣粉,44.70,广西,15000.0
128,稻香村食品旗舰店,稻香村奶酪包乳酪包120g*4早餐面包甜点网红奶酪包糕点点心,54.90,未知,3504.0
129,知味观官方旗舰店,满减【知味观绿豆糕】杭州特产休闲食品零食办公室小吃糕点心,29.70,未知,838.0
130,知味观官方旗舰店,满减【知味观定胜糕190g】杭州特产乔迁礼品老字号传统糕点心,50.70,未知,326.0
131,好欢螺旗舰店,好欢螺小龙虾味螺蛳粉柳州美食酸辣粉320gx5袋螺狮粉速食方便面,74.50,广西,7000.0
132,轩妈食品旗舰店,轩妈家蛋黄酥20g*8枚 红豆味迷你mini儿童零食糕点点心网红,29.00,广西,15000.0
133,沈大成旗舰店,沈大成糕点桂花拉糕3盒组合 上海特产传统糯米糕点心 网红,89.00,上海,63.0
134,百草味旗舰店,【百草味-韩式辣年糕160g】甜辣风味特色零食糕点特产美食小吃,14.90,浙江,4022.0
135,百草味旗舰店,满减【百草味-蔓越莓曲奇100g】网红美食手工饼干点心办公室零食,14.70,浙江,35000.0
136,苏州桂花冬酿酒,津津江苏苏州土特产卤汁豆腐干老字号甜豆干酱小包装豆脯袋装散装,7.50,江苏,1153.0
137,狗不理旗舰店,狗不理兆丰年2.48kg面食小吃特产天津营养早餐食品半成品速食,98.00,天津,88.0
138,留夫鸭旗舰店,留夫鸭猪蹄锁鲜装即食熟食特色小吃216g新鲜卤味猪爪美食单盒零食,33.90,浙江,92.0
139,盼盼食品官方旗舰店,盼盼零食大礼包网红小吃货一箱下午茶超大批发美食混装组合2580g,49.90,未知,156.0
140,柳螺宗蛳旗舰店,柳螺宗蛳螺蛳粉正宗柳州特产美食330g*10袋螺狮粉整箱礼盒装螺丝,129.00,广西,1112.0
141,广西御品香食品有限公司店,螺蛳粉螺霸王螺丝粉广西柳州正宗美食特产10包礼盒装整箱螺狮粉,115.00,未知,7000.0
142,卫龙食品旗舰店,满减【卫龙旗舰店】小辣棒50g*2辣条怀旧吃零食经典怀旧麻辣,17.20,河南,10000.0
143,乐奈旗舰店,乐奈网红零食大礼包女生组合一整箱多口味混装办公室休闲小吃,158.60,江苏,526.0
144,科尔沁食品旗舰店,科尔沁风干牛肉 休闲零食牛肉肉类礼盒806g 内蒙古特产小吃,279.00,未知,1.0
145,yotime旗舰店,网红手工美食曲奇饼干伴手礼盒装 零食大礼包特产生日礼物送礼品,129.00,浙江,500.0
146,嘉华食品旗舰店,嘉华鲜花饼云腿小饼礼袋*2云南特产零食小吃美食早餐传统糕点心,76.00,云南,561.0
147,猫诚旗舰店,卫龙大面筋112g*5包辣条麻辣片经典怀旧零食小吃麻辣小吃批发,13.80,安徽,1585.0
148,顺腾食品专营店,桃酥饼干整箱散装老式酥饼早餐网红美食休闲食品零食小吃点心糕点,16.80,安徽,30000.0
149,肖三婆旗舰店,满299减200丨肖三婆冷吃牛肉50g四川麻辣牛肉干熟食真空卤味,28.80,四川,1518.0
150,嘉华食品旗舰店,嘉华玫瑰塔礼盒多口味云南特产零食小吃食品美食早餐西式糕点心,36.00,云南,859.0
151,大红门食品旗舰店,大红门老北京蒜肠245g*5根 大香肠 火腿肠特产好吃的风味小吃,59.90,北京,1773.0
152,其妙旗舰店,其妙椰子饼干整箱早餐面包厦门特产美食糕点网红零食小吃休闲食品,14.90,福建,7000.0
153,北京稻香村旗舰店,三禾北京稻香村传统糕点特产饼饼有礼美食小吃点心送礼品,168.00,北京,349.0
154,mrhu旗舰店,20枚玫瑰鲜花饼云南特产玫瑰花饼胡先生正宗糕点早餐零食1kg,39.90,云南,3811.0
155,研磨食光旗舰店,研磨食光 香酥炸猪油渣非生酮肉渣美食特产五花肉类零食 175g*3包,94.80,浙江,351.0
156,yotime旗舰店,网红喜饼 手工美食零食中式茶点桃花酥饼宫廷糕点礼盒装伴手礼物,198.00,浙江,91.0
157,叶嘉旗舰店,叶嘉盐焗鸡翅梅州客家特产休闲小吃美食卤味鸡脚爪鸡翅膀真空包装,55.80,广东,2023.0
158,百事集团官方旗舰店,奇多粟米棒食品小吃零食礼包整箱牛排火鸡味60g*12包怀旧,44.50,未知,1754.0
159,韩复兴旗舰店,韩复兴保鲜盐水鸭1300g正宗南京特产咸水鸭新鲜熟卤菜老字号,88.00,江苏,1020.0
160,枫巢食品专营店,达利园欧式蛋糕1500g美食礼盒达利园软面包蛋糕点心零食早餐整箱,29.90,福建,6000.0
161,香客食品专营店,小麻花网红小吃零食美食小袋装装零食充饥夜宵休闲食品饼干整箱,9.90,福建,50000.0
162,猫诚旗舰店,真真老老艾草青团网红美食麻薯豆沙芒果糯米团子特产糕点小吃零食,14.90,安徽,7.0
163,akoko烘焙旗舰店,AKOKO曲奇饼干160g小零食小饼干小吃美食休闲食品好吃的零食网红,59.00,浙江,10000.0
164,其妙旗舰店,其妙沙琪玛网红小吃的零食蛋糕点早餐面包整箱萨琪玛品点心,16.90,福建,456.0
165,达生旗舰店,达生食品囤货 哈尔滨红肠1000g儿童肠香肠特产美食早餐零食下酒菜,39.90,黑龙,6000.0
166,春江食品旗舰店,春江雪媚娘红豆蛋黄酥330g盒装网红小吃糕点美食早餐下午茶充饥,45.00,广西,7000.0
167,绝艺食品旗舰店,绝艺散装不辣鸭锁骨麻辣味湖南特产舌尖办公室零食香辣小包装,29.90,湖南,1641.0
168,港荣食品旗舰店,港荣奶香蒸蛋糕点点心 整箱营养早餐零食品美食手撕小吃面包邮,69.90,广东,680.0
169,天猫超市,乖媳妇泡椒凤爪山椒鸡肉类零食麻辣258g重庆特产美食小吃香辣鸡爪,15.80,上海,1109.0
170,天猫超市,黑木崖棒斯基吮指原味蛋糕388g 糕点心面包早餐代餐零食小吃,19.90,上海,9500.0
171,天猫超市,锦城记龙须酥240g成都特产四川美食名小吃小包装老式手工糖丝零食,24.90,上海,1225.0
172,天猫超市,百草味 肉松饼260g 营养早餐零食休闲小吃 特产美食糕点点心,25.90,上海,951.0
173,天猫超市,mykies进口干脆面干吃面方便面小吃零食网红美食食品16g*15包,19.80,上海,3433.0
174,比比赞旗舰店,盼盼肉松饼整箱美食肉松条糕点心面包礼盒装零食品小吃散装批发,36.80,福建,42.0
175,比比赞旗舰店,食为先炸酱香脖18g*20包美食小吃休闲零食真空小包装香辣鸡脖,17.80,福建,178.0
176,周黑鸭食品旗舰店,【周黑鸭旗舰店_锁鲜】气调盒装卤鸭翅250g 锁骨240g零食小吃,54.80,未知,430.0
177,周黑鸭食品旗舰店,【周黑鸭旗舰店_锁鲜】气调盒装卤鸭脖320g鸭翅250g 特产零食,67.60,未知,216.0
178,知味观官方旗舰店,满减【知味观杭州酱鸭】酱板鸭浙江特产鸭肉小吃美食卤味零食熟食,86.70,未知,298.0
179,稻香村食品旗舰店,【满减】稻香村-凤梨酥400g美食糕点特色风味独立装休闲点心零食,21.90,北京,549.0
180,徽味香安徽腊味,美食 闲鸭腊味坊安徽农家腌制板鸭风干咸鸭子腊鸭咸鸭肉 徽州特产,25.80,安徽,116.0
181,百寿元旗舰店,百寿元糖桂花酱酿手工自制冰粉烘焙食用糖蜜酿浆果酱商家用280g*2,25.90,广西,3208.0
182,zyw6817103,椰奶酥蛋黄酥早餐好吃的零食小吃手工糕点心休闲食品16枚3枚,6.90,福建,209.0
183,知味观官方旗舰店,知味观桂花糕 杭州特产传统糕点好吃的茶点心零食美食休闲小吃,26.00,未知,5500.0
184,良品铺子旗舰店,【良品铺子青团240g】网红咸蛋黄肉松零食特产美食麻薯糯米糍糕点,19.90,广东,6500.0
185,良品铺子旗舰店,【良品铺子-甜辣鸭脖子190g】卤味零食小吃美食休闲食品小包装,19.90,广东,40000.0
186,稻香村食品旗舰店,【满减】稻香村小米煎饼锅巴120g*2袋组合美食小吃办公室零食,18.90,北京,1127.0
187,百草味旗舰店,【百草味-华夫饼168gx2袋】好吃点心零食小吃特产美食休闲袋装,19.90,浙江,476.0
188,百草味旗舰店,【百草味-肉松饼260g】传统糕点网红零食 特色小吃美食点心,9.90,浙江,305.0
189,yotime旗舰店,手工曲奇饼干礼盒装食品 网红零食大礼包生日伴手送礼品女,129.00,浙江,193.0
190,轩妈食品旗舰店,轩妈家蛋黄酥桂花味2枚/盒 咸鸭蛋黄雪媚娘麻薯馅糕点零食,16.90,广西,4151.0
191,嘉华食品旗舰店,鲜花饼嘉华酸奶优格礼袋鲜花饼云南特产休闲美食传统糕点点心零食,32.00,云南,1754.0
192,友臣旗舰店,友臣散装肉松饼500g营养早餐糕点网红零食美食小吃休闲食品点心,19.90,福建,10000.0
193,湘老爹食品专营店,徐福记米格玛夹心米果卷休闲糙米卷小吃食物美食打发时间的小零食,19.80,未知,5500.0
194,肖三婆旗舰店,肖三婆麻辣鸡翅尖四川特产美食鸡腿无骨鸡爪休闲网红小吃鸡翅零食,39.99,四川,626.0
195,留夫鸭旗舰店,留夫鸭虎皮凤爪锁鲜装即食熟食肉类美食鸡爪180g*2零食特色小吃,59.90,浙江,276.0
196,猫诚旗舰店,嘉华鲜花饼云荞玫瑰酥礼盒云南特色零食小吃早餐美食品传统糕点心,28.00,云南,3.0
197,桂花鸭旗舰店,桂花贡坊1000g桂花鸭集团正宗江苏特产南京盐水鸭舌尖年货节,96.00,江苏,284.0
198,嘉华食品旗舰店,嘉华鲜花饼暖心大地礼袋云南特色零食小吃美食早餐糕点肉丝蛋黄酥,39.90,云南,615.0
199,川之味食品专营店,嗨吃家酸辣粉桶装整箱12桶重庆网红美食嗨吃家红薯粉丝方便速食,69.90,未知,1041.0
200,藤桥牌旗舰店,藤桥牌无骨鸭掌 温州特产美食 酱香香辣零食 去骨鸭爪210g,42.80,浙江,988.0
